id;data_envio;status;cliente_id;template_id
1;2025-09-29T19:51:55;ick;23368;17810
2;2025-09-30T13:01:48;cornet aware;18660;25199
3;2025-09-29T22:10:28;duh grounded than;29248;8126
4;2025-09-30T16:35:48;yippee;10471;32379
5;2025-09-30T14:15:57;lovely;4062;8238
6;2025-09-30T06:03:53;teriyaki nor;14650;18179
7;2025-09-30T11:33:56;woot;2731;22015
8;2025-09-30T16:56:34;adult patroller qua;24045;9655
9;2025-09-30T14:54:01;mostly gah;2654;26081
10;2025-09-30T06:06:41;accidentally adumbrate;31791;11514
