id;nome;descricao;canal_envio;agendamento_id
1;degenerate configuration gadzooks;function validity;gah as;4558
2;whereas hydrant;certainly where pfft;shimmering;5915
3;after kaleidoscopic frank;promptly;afore queasily;20850
4;ambitious swat jot;that whoever;meh geez finger;25223
5;task speedy;hm useless;if yet crystallize;5788
6;supposing ouch wetly;immediately newsprint;terribly zowie;10065
7;provided whose;helplessly boohoo bah;meanwhile cauliflower;11606
8;crumble and uselessly;tame;windy soliloquy awful;16339
9;mid;scarcely;worriedly that;7420
10;scale absent;a;since;12046
