id;nome;titulo_mensagem;corpo_mensagem;tipo_mensagem
1;towards regularly helpfully;new;mmm fondly;clearly moral scaly
2;boastfully;archaeology solidly decent;concerning overplay;nor doting oblong
3;wrathful through plump;dental abacus;speedily guilty;aha that and
4;disappointment near;given hefty;simple;once agreement
5;skeletal huzzah cheerfully;generously;honored;haircut clamor
6;nor;worriedly edge guide;svelte whether exalt;tuxedo pfft
7;amidst psst;mantua;meanwhile;surface
8;above;while certify quaintly;meaningfully innovation probable;righteously instructive
9;phew;mmm soon;whereas yowza brace;charming whoa well-to-do
10;meh brr;pneumonia phooey seldom;precious;blah
